classifier_name,dataset_name,accuracy
kpca,student_rate_60,0.550041741204532
ppca,student_rate_60,0.5546571258199164
mpk,student_rate_60,0.5608467501490757
mean,student_rate_70,0.5331782945736434
mice,student_rate_70,0.534716756112105
rbfn,student_rate_70,0.0
genrbf,student_rate_70,0.4145259391771019
em,student_rate_70,0.4052355396541443
kpca,student_rate_70,0.550041741204532
ppca,student_rate_70,0.5546571258199164
mpk,student_rate_70,0.5608467501490757
mean,student_rate_80,0.5331782945736434
mice,student_rate_80,0.534716756112105
rbfn,student_rate_80,0.0
genrbf,student_rate_80,0.4145259391771019
em,student_rate_80,0.4052355396541443
kpca,student_rate_80,0.550041741204532
ppca,student_rate_80,0.5546571258199164
mpk,student_rate_80,0.5608467501490757
mean,banknote_rate_5,0.8884963503649634
mice,banknote_rate_5,0.9140066357000662
rbfn,banknote_rate_5,0.54750099535501
genrbf,banknote_rate_5,0.8505958858659589
em,banknote_rate_5,0.948244193762442
kpca,banknote_rate_5,0.9941738553417384
ppca,banknote_rate_5,0.9620968812209688
mpk,banknote_rate_5,0.9329635036496352
mean,banknote_rate_10,0.8884963503649634
mice,banknote_rate_10,0.9140066357000662
rbfn,banknote_rate_10,0.54750099535501
genrbf,banknote_rate_10,0.8505958858659589
em,banknote_rate_10,0.948244193762442
kpca,banknote_rate_10,0.9941738553417384
ppca,banknote_rate_10,0.9620968812209688
mpk,banknote_rate_10,0.9329635036496352
mean,banknote_rate_20,0.8884963503649634
mice,banknote_rate_20,0.9140066357000662
rbfn,banknote_rate_20,0.54750099535501
genrbf,banknote_rate_20,0.8505958858659589
em,banknote_rate_20,0.948244193762442
kpca,banknote_rate_20,0.9941738553417384
ppca,banknote_rate_20,0.9620968812209688
mpk,banknote_rate_20,0.9329635036496352
mean,banknote_rate_30,0.8884963503649634
mice,banknote_rate_30,0.9140066357000662
rbfn,banknote_rate_30,0.54750099535501
genrbf,banknote_rate_30,0.8505958858659589
em,banknote_rate_30,0.948244193762442
kpca,banknote_rate_30,0.9941738553417384
ppca,banknote_rate_30,0.9620968812209688
mpk,banknote_rate_30,0.9329635036496352
mean,banknote_rate_40,0.8884963503649634
mice,banknote_rate_40,0.9140066357000662
rbfn,banknote_rate_40,0.54750099535501
genrbf,banknote_rate_40,0.8505958858659589
em,banknote_rate_40,0.948244193762442
kpca,banknote_rate_40,0.9941738553417384
ppca,banknote_rate_40,0.9620968812209688
mpk,banknote_rate_40,0.9329635036496352
mean,banknote_rate_50,0.8884963503649634
mice,banknote_rate_50,0.9140066357000662
rbfn,banknote_rate_50,0.54750099535501
genrbf,banknote_rate_50,0.8505958858659589
em,banknote_rate_50,0.948244193762442
kpca,banknote_rate_50,0.9941738553417384
ppca,banknote_rate_50,0.9620968812209688
mpk,banknote_rate_50,0.9329635036496352
mean,banknote_rate_60,0.8884963503649634
mice,banknote_rate_60,0.9140066357000662
rbfn,banknote_rate_60,0.54750099535501
genrbf,banknote_rate_60,0.8505958858659589
em,banknote_rate_60,0.948244193762442
kpca,banknote_rate_60,0.9941738553417384
ppca,banknote_rate_60,0.9620968812209688
mpk,banknote_rate_60,0.9329635036496352
mean,banknote_rate_70,0.8884963503649634
mice,banknote_rate_70,0.9140066357000662
rbfn,banknote_rate_70,0.54750099535501
genrbf,banknote_rate_70,0.8505958858659589
em,banknote_rate_70,0.948244193762442
kpca,banknote_rate_70,0.9941738553417384
ppca,banknote_rate_70,0.9620968812209688
mpk,banknote_rate_70,0.9329635036496352
mean,banknote_rate_80,0.8884963503649634
mice,banknote_rate_80,0.9140066357000662
rbfn,banknote_rate_80,0.54750099535501
genrbf,banknote_rate_80,0.8505958858659589
em,banknote_rate_80,0.948244193762442
kpca,banknote_rate_80,0.9941738553417384
ppca,banknote_rate_80,0.9620968812209688
mpk,banknote_rate_80,0.9329635036496352
mean,sonar_rate_5,0.7737514518002323
mice,sonar_rate_5,0.7931475029036005
rbfn,sonar_rate_5,0.0
genrbf,sonar_rate_5,0.5346109175377468
em,sonar_rate_5,0.7736353077816492
kpca,sonar_rate_5,0.8220673635307781
